SEASON,DATE_TIME,TEAM_HOME,TEAM_AWAY,FTG_HOME,FTG_AWAY,HTG_HOME,HTG_AWAY
2017/2017,4/15/2017,PS BARITO PUTERA,MITRA KUKAR,2,1,0,1
2017/2017,4/15/2017,PERSIB BANDUNG,AREMA FC,0,0,0,0
2017/2017,4/16/2017,MADURA UNITED,BALI UNITED,2,0,1,0
2017/2017,4/16/2017,PERSIBA BALIKPAPAN,PERSIJA JAKARTA,0,2,0,0
2017/2017,4/16/2017,PSM MAKASSAR,PERSELA LAMONGAN,3,1,3,0
2017/2017,4/17/2017,PERSIKABO 1973,BORNEO FC,2,2,1,1
2017/2017,4/17/2017,SEMEN PADANG,SRIWIJAYA FC,1,1,0,0
2017/2017,4/18/2017,PERSIPURA JAYAPURA,GRESIK UNITED,1,1,1,1
2017/2017,4/20/2017,BHAYANGKARA FC,PERSERU SERUI,2,1,1,0
2017/2017,4/21/2017,GRESIK UNITED,SEMEN PADANG,1,3,1,1
2017/2017,4/21/2017,PERSELA LAMONGAN,MADURA UNITED,2,0,1,0
2017/2017,4/22/2017,SRIWIJAYA FC,BORNEO FC,1,0,1,0
2017/2017,4/22/2017,PERSIJA JAKARTA,PS BARITO PUTERA,1,1,0,0
2017/2017,4/22/2017,PERSIKABO 1973,PERSIB BANDUNG,2,2,0,0
2017/2017,4/23/2017,BALI UNITED,PERSIPURA JAYAPURA,1,2,1,2
2017/2017,4/23/2017,AREMA FC,BHAYANGKARA FC,2,0,1,0
2017/2017,4/24/2017,MITRA KUKAR,PSM MAKASSAR,1,1,0,1
2017/2017,4/25/2017,PERSERU SERUI,PERSIBA BALIKPAPAN,2,1,2,0
2017/2017,4/28/2017,MADURA UNITED,MITRA KUKAR,2,2,1,1
2017/2017,4/28/2017,SEMEN PADANG,PERSIPURA JAYAPURA,1,0,0,0
2017/2017,4/29/2017,BHAYANGKARA FC,PERSIKABO 1973,1,2,0,1
2017/2017,4/29/2017,BORNEO FC,GRESIK UNITED,3,0,1,0
2017/2017,4/29/2017,PERSIB BANDUNG,SRIWIJAYA FC,2,0,1,0
2017/2017,4/30/2017,PERSELA LAMONGAN,BALI UNITED,0,1,0,1
2017/2017,4/30/2017,PS BARITO PUTERA,PERSERU SERUI,2,0,2,0
2017/2017,4/30/2017,PSM MAKASSAR,PERSIJA JAKARTA,1,0,0,0
2017/2017,5/1/2017,PERSIBA BALIKPAPAN,AREMA FC,0,1,0,0
