tanggal;jumlah
01/01/20;1146040
02/01/20;658978
03/01/20;547579
04/01/20;806090
05/01/20;500000
06/01/20;528365
07/01/20;709123
08/01/20;463250
09/01/20;919499
10/01/20;1462661
11/01/20;400000
12/01/20;379361
13/01/20;400000
14/01/20;437046
15/01/20;916454
16/01/20;531883
17/01/20;849427
18/01/20;600000
19/01/20;630265
20/01/20;849000
21/01/20;841109
22/01/20;555946
23/01/20;833358
24/01/20;670000
25/01/20;669549
26/01/20;1585850
27/01/20;710544
28/01/20;1862105
29/01/20;1508039
30/01/20;447483
31/01/20;1787803
01/02/20;750000
02/02/20;681668
03/02/20;970456
04/02/20;800000
05/02/20;897811
06/02/20;1130933
07/02/20;769338
08/02/20;1570108
09/02/20;600000
10/02/20;663335
11/02/20;1516801
12/02/20;540380
13/02/20;1550000
14/02/20;1618990
15/02/20;1034702
16/02/20;737118
17/02/20;910085
18/02/20;514306
19/02/20;832423
20/02/20;1580782
21/02/20;783878
22/02/20;463249
23/02/20;972198
24/02/20;406000
25/02/20;504551
26/02/20;406921
27/02/20;2376951
28/02/20;915510
29/02/20;2644386
01/03/20;1301133
02/03/20;333114
03/03/20;1473688
04/03/20;410470
05/03/20;699700
06/03/20;398593
07/03/20;912336
08/03/20;559414
09/03/20;395000
10/03/20;397336
11/03/20;586307
12/03/20;3344470
13/03/20;548287
14/03/20;408686
15/03/20;654583
16/03/20;548334
17/03/20;390389
18/03/20;500000
19/03/20;446421
20/03/20;2086614
21/03/20;564628
22/03/20;1406369
23/03/20;495521
24/03/20;400000
25/03/20;467937
26/03/20;2259999
27/03/20;1960618
28/03/20;426028
29/03/20;500000
30/03/20;385373
31/03/20;1234854
01/04/20;660245
02/04/20;605733
03/04/20;686745
04/04/20;525523
05/04/20;446219
06/04/20;525000
07/04/20;515064
08/04/20;1455020
09/04/20;933039
10/04/20;387676
11/04/20;400000
12/04/20;424796
13/04/20;115585
14/04/20;439430
15/04/20;324456
16/04/20;551362
17/04/20;501456
18/04/20;232175
19/04/20;369433
20/04/20;445287
21/04/20;689490
22/04/20;689490
23/04/20;635000
24/04/20;658048
25/04/20;1226021
26/04/20;650000
27/04/20;639508
28/04/20;1704315
29/04/20;480624
30/04/20;175537
01/05/20;1402995
02/05/20;436611
03/05/20;560471
04/05/20;816354
05/05/20;439426
06/05/20;547906
07/05/20;650873
08/05/20;493830
09/05/20;746299
10/05/20;830501
11/05/20;1923793
12/05/20;338714
13/05/20;1212409
14/05/20;365000
15/05/20;352463
16/05/20;401415
17/05/20;485535
18/05/20;428682
19/05/20;347843
20/05/20;821411
21/05/20;1251747
22/05/20;521628
23/05/20;432647
24/05/20;802736
25/05/20;300000
26/05/20;250166
27/05/20;504618
28/05/20;668626
29/05/20;618124
30/05/20;347521
31/05/20;397279
01/06/20;1360369
02/06/20;725270
03/06/20;510070
04/06/20;400000
05/06/20;347401
06/06/20;1998097
07/06/20;529916
08/06/20;597491
09/06/20;724688
10/06/20;535078
11/06/20;1859621
12/06/20;1311591
13/06/20;1105858
14/06/20;1451494
15/06/20;909795
16/06/20;1003380
17/06/20;2063245
18/06/20;656539
19/06/20;1752522
20/06/20;938427
21/06/20;1222917
22/06/20;1048246
23/06/20;583046
24/06/20;438421
25/06/20;1769904
26/06/20;766566
27/06/20;889974
28/06/20;710511
29/06/20;1221056
30/06/20;576112
01/07/20;1067095
02/07/20;1277032
03/07/20;1881627
04/07/20;500000
05/07/20;603001
06/07/20;1424865
07/07/20;300000
08/07/20;266739
09/07/20;806122
10/07/20;150000
11/07/20;86709
12/07/20;109467
13/07/20;1166507
14/07/20;2549679
15/07/20;550714
16/07/20;1922768
17/07/20;3485210
18/07/20;786161
19/07/20;1008662
20/07/20;2171832
21/07/20;1774266
22/07/20;2459584
23/07/20;1644633
24/07/20;1644633
25/07/20;1629150
26/07/20;459250
27/07/20;910147
28/07/20;900000
29/07/20;809894
30/07/20;4100028
31/07/20;1630814
01/08/20;1561588
02/08/20;1688765
03/08/20;2700000
04/08/20;2769328
05/08/20;1675176
06/08/20;1600000
07/08/20;1617486
08/08/20;1600000
09/08/20;1654355
10/08/20;1854562
11/08/20;1586504
12/08/20;2819851
13/08/20;3718201
14/08/20;4266156
15/08/20;1800000
16/08/20;1783425
17/08/20;1455985
18/08/20;1900000
19/08/20;1931042
20/08/20;1320767
21/08/20;1529678
22/08/20;1362803
23/08/20;1623099
24/08/20;2794215
25/08/20;2050537
26/08/20;1856434
27/08/20;2709207
28/08/20;1700000
29/08/20;1814043
30/08/20;1505826
31/08/20;2694811
01/09/20;1588578
02/09/20;1794677
03/09/20;1720021
04/09/20;1847633
05/09/20;1664086
06/09/20;2550523
07/09/20;2000000
08/09/20;2005899
09/09/20;2600263
10/09/20;1822624
11/09/20;1822624
12/09/20;1838355
13/09/20;1624772
14/09/20;1831374
15/09/20;1584387
16/09/20;2239820
17/09/20;1600000
18/09/20;1678288
19/09/20;1881791
20/09/20;2159780
21/09/20;1401155
22/09/20;940976
23/09/20;1619535
24/09/20;914848
25/09/20;1831921
26/09/20;1947079
27/09/20;2218237
28/09/20;1136196
29/09/20;2223937
30/09/20;1542443
01/10/20;2500000
02/10/20;2694269
03/10/20;1679368
04/10/20;2499452
05/10/20;2000000
06/10/20;1925623
07/10/20;1721006
08/10/20;2084037
09/10/20;1750000
10/10/20;1739603
11/10/20;2175355
12/10/20;1661938
13/10/20;2196218
14/10/20;2196218
15/10/20;6023613
16/10/20;2060208
17/10/20;1515848
18/10/20;1736146
19/10/20;2000000
20/10/20;1824670
21/10/20;2339103
22/10/20;2049929
23/10/20;2000000
24/10/20;2017109
25/10/20;1800000
26/10/20;1723231
27/10/20;2794901
28/10/20;2794901
29/10/20;1500000
30/10/20;1347766
31/10/20;1743085
01/11/20;1300000
02/11/20;1226845
03/11/20;1487368
04/11/20;2004803
05/11/20;2064084
06/11/20;2642798
07/11/20;1600000
08/11/20;1695904
09/11/20;1786170
10/11/20;1786170
11/11/20;1848014
12/11/20;2095444
13/11/20;1963333
14/11/20;1543084
15/11/20;1619473
16/11/20;1650000
17/11/20;1678509
18/11/20;1384646
19/11/20;1470324
20/11/20;1660798
21/11/20;1717577
22/11/20;1412981
23/11/20;1600375
24/11/20;1823572
25/11/20;1565957
26/11/20;1678106
27/11/20;1542766
28/11/20;1398920
29/11/20;1283449
30/11/20;1607252
01/12/20;2098437
02/12/20;4555924
03/12/20;2671290
04/12/20;3962067
05/12/20;2471001
06/12/20;2068939
07/12/20;2439252
08/12/20;2205631
09/12/20;1959936
10/12/20;7311606
11/12/20;2154571
12/12/20;3020684
13/12/20;1700000
14/12/20;1628992
15/12/20;2000000
16/12/20;1977179
17/12/20;3538771
18/12/20;2542449
19/12/20;1598610
20/12/20;1989164
21/12/20;1364863
22/12/20;1693103
23/12/20;1400000
24/12/20;1542472
25/12/20;2332480
26/12/20;1337775
27/12/20;3101522
28/12/20;1412321
29/12/20;1837488
30/12/20;983643
31/12/20;1095860
01/01/21;1452010
02/01/21;1244430
03/01/21;862019
04/01/21;1726430
05/01/21;1752371
06/01/21;4521562
07/01/21;2276919
08/01/21;2398648
09/01/21;1713852
10/01/21;2034906
11/01/21;2100536
12/01/21;1911530
13/01/21;2654967
14/01/21;1970054
15/01/21;1640588
16/01/21;1142178
17/01/21;1158270
18/01/21;1765840
19/01/21;1894153
20/01/21;2102005
21/01/21;2437596
22/01/21;2137184
23/01/21;2911802
24/01/21;1737755
25/01/21;1866381
26/01/21;1985798
27/01/21;1569479
28/01/21;1163889
29/01/21;2084834
30/01/21;1175996
31/01/21;1922224
01/02/21;1642509
02/02/21;1730277
03/02/21;1833630
04/02/21;2675154
05/02/21;2010155
06/02/21;1419941
07/02/21;1525557
08/02/21;1758366
09/02/21;1484183
10/02/21;1378017
11/02/21;1579445
12/02/21;1411500
13/02/21;1236260
14/02/21;1191303
15/02/21;1427996
16/02/21;794681
17/02/21;57169
18/02/21;1484918
19/02/21;2871913
20/02/21;732807
21/02/21;2075944
22/02/21;1447473
23/02/21;1634313
24/02/21;1902039
25/02/21;1875072
26/02/21;2379406
27/02/21;1579817
28/02/21;1761463
