"tanggal","jumlah"
"1/1/2020","1146040"
"1/2/2020","658978"
"1/3/2020","547579"
"1/4/2020","806090"
"1/5/2020","500000"
"1/6/2020","528365"
"1/7/2020","709123"
"1/8/2020","463250"
"1/9/2020","919499"
"1/10/2020","1462661"
"1/11/2020","400000"
"1/12/2020","379361"
"1/13/2020","400000"
"1/14/2020","437046"
"1/15/2020","916454"
"1/16/2020","531883"
"1/17/2020","849427"
"1/18/2020","600000"
"1/19/2020","630265"
"1/20/2020","849000"
"1/21/2020","841109"
"1/22/2020","555946"
"1/23/2020","833358"
"1/24/2020","670000"
"1/25/2020","669549"
"1/26/2020","1585850"
"1/27/2020","710544"
"1/28/2020","1862105"
"1/29/2020","1508039"
"1/30/2020","447483"
"1/31/2020","1787803"
"2/1/2020","750000"
"2/2/2020","681668"
"2/3/2020","970456"
"2/4/2020","800000"
"2/5/2020","897811"
"2/6/2020","1130933"
"2/7/2020","769338"
"2/8/2020","1570108"
"2/9/2020","600000"
"2/10/2020","663335"
"2/11/2020","1516801"
"2/12/2020","540380"
"2/13/2020","1550000"
"2/14/2020","1618990"
"2/15/2020","1034702"
"2/16/2020","737118"
"2/17/2020","910085"
"2/18/2020","514306"
"2/19/2020","832423"
"2/20/2020","1580782"
"2/21/2020","783878"
"2/22/2020","463249"
"2/23/2020","972198"
"2/24/2020","406000"
"2/25/2020","504551"
"2/26/2020","406921"
"2/27/2020","2376951"
"2/28/2020","915510"
"2/29/2020","2644386"
"3/1/2020","1301133"
"3/2/2020","333114"
"3/3/2020","1473688"
"3/4/2020","410470"
"3/5/2020","699700"
"3/6/2020","398593"
"3/7/2020","912336"
"3/8/2020","559414"
"3/9/2020","395000"
"3/10/2020","397336"
"3/11/2020","586307"
"3/12/2020","3344470"
"3/13/2020","548287"
"3/14/2020","408686"
"3/15/2020","654583"
"3/16/2020","548334"
"3/17/2020","390389"
"3/18/2020","500000"
"3/19/2020","446421"
"3/20/2020","2086614"
"3/21/2020","564628"
"3/22/2020","1406369"
"3/23/2020","495521"
"3/24/2020","400000"
"3/25/2020","467937"
"3/26/2020","2259999"
"3/27/2020","1960618"
"3/28/2020","426028"
"3/29/2020","500000"
"3/30/2020","385373"
"3/31/2020","1234854"
"4/1/2020","660245"
"4/2/2020","605733"
"4/3/2020","686745"
"4/4/2020","525523"
"4/5/2020","446219"
"4/6/2020","525000"
"4/7/2020","515064"
"4/8/2020","1455020"
"4/9/2020","933039"
"4/10/2020","387676"
"4/11/2020","400000"
"4/12/2020","424796"
"4/13/2020","115585"
"4/14/2020","439430"
"4/15/2020","324456"
"4/16/2020","551362"
"4/17/2020","501456"
"4/18/2020","232175"
"4/19/2020","369433"
"4/20/2020","445287"
"4/21/2020","689490"
"4/22/2020","689490"
"4/23/2020","635000"
"4/24/2020","658048"
"4/25/2020","1226021"
"4/26/2020","650000"
"4/27/2020","639508"
"4/28/2020","1704315"
"4/29/2020","480624"
"4/30/2020","175537"
"5/1/2020","1402995"
"5/2/2020","436611"
"5/3/2020","560471"
"5/4/2020","816354"
"5/5/2020","439426"
"5/6/2020","547906"
"5/7/2020","650873"
"5/8/2020","493830"
"5/9/2020","746299"
"5/10/2020","830501"
"5/11/2020","1923793"
"5/12/2020","338714"
"5/13/2020","1212409"
"5/14/2020","365000"
"5/15/2020","352463"
"5/16/2020","401415"
"5/17/2020","485535"
"5/18/2020","428682"
"5/19/2020","347843"
"5/20/2020","821411"
"5/21/2020","1251747"
"5/22/2020","521628"
"5/23/2020","432647"
"5/24/2020","802736"
"5/25/2020","300000"
"5/26/2020","250166"
"5/27/2020","504618"
"5/28/2020","668626"
"5/29/2020","618124"
"5/30/2020","347521"
"5/31/2020","397279"
"6/1/2020","1360369"
"6/2/2020","725270"
"6/3/2020","510070"
"6/4/2020","400000"
"6/5/2020","347401"
"6/6/2020","1998097"
"6/7/2020","529916"
"6/8/2020","597491"
"6/9/2020","724688"
"6/10/2020","535078"
"6/11/2020","1859621"
"6/12/2020","1311591"
"6/13/2020","1105858"
"6/14/2020","1451494"
"6/15/2020","909795"
"6/16/2020","1003380"
"6/17/2020","2063245"
"6/18/2020","656539"
"6/19/2020","1752522"
"6/20/2020","938427"
"6/21/2020","1222917"
"6/22/2020","1048246"
"6/23/2020","583046"
"6/24/2020","438421"
"6/25/2020","1769904"
"6/26/2020","766566"
"6/27/2020","889974"
"6/28/2020","710511"
"6/29/2020","1221056"
"6/30/2020","576112"
"7/1/2020","1067095"
"7/2/2020","1277032"
"7/3/2020","1881627"
"7/4/2020","500000"
"7/5/2020","603001"
"7/6/2020","1424865"
"7/7/2020","300000"
"7/8/2020","266739"
"7/9/2020","806122"
"7/10/2020","150000"
"7/11/2020","86709"
"7/12/2020","109467"
"7/13/2020","1166507"
"7/14/2020","2549679"
"7/15/2020","550714"
"7/16/2020","1922768"
"7/17/2020","3485210"
"7/18/2020","786161"
"7/19/2020","1008662"
"7/20/2020","2171832"
"7/21/2020","1774266"
"7/22/2020","2459584"
"7/23/2020","1644633"
"7/24/2020","1644633"
"7/25/2020","1629150"
"7/26/2020","459250"
"7/27/2020","910147"
"7/28/2020","900000"
"7/29/2020","809894"
"7/30/2020","4100028"
"7/31/2020","1630814"
"8/1/2020","1561588"
"8/2/2020","1688765"
"8/3/2020","2700000"
"8/4/2020","2769328"
"8/5/2020","1675176"
"8/6/2020","1600000"
"8/7/2020","1617486"
"8/8/2020","1600000"
"8/9/2020","1654355"
"8/10/2020","1854562"
"8/11/2020","1586504"
"8/12/2020","2819851"
"8/13/2020","3718201"
"8/14/2020","4266156"
"8/15/2020","1800000"
"8/16/2020","1783425"
"8/17/2020","1455985"
"8/18/2020","1900000"
"8/19/2020","1931042"
"8/20/2020","1320767"
"8/21/2020","1529678"
"8/22/2020","1362803"
"8/23/2020","1623099"
"8/24/2020","2794215"
"8/25/2020","2050537"
"8/26/2020","1856434"
"8/27/2020","2709207"
"8/28/2020","1700000"
"8/29/2020","1814043"
"8/30/2020","1505826"
"8/31/2020","2694811"
"9/1/2020","1588578"
"9/2/2020","1794677"
"9/3/2020","1720021"
"9/4/2020","1847633"
"9/5/2020","1664086"
"9/6/2020","2550523"
"9/7/2020","2000000"
"9/8/2020","2005899"
"9/9/2020","2600263"
"9/10/2020","1822624"
"9/11/2020","1822624"
"9/12/2020","1838355"
"9/13/2020","1624772"
"9/14/2020","1831374"
"9/15/2020","1584387"
"9/16/2020","2239820"
"9/17/2020","1600000"
"9/18/2020","1678288"
"9/19/2020","1881791"
"9/20/2020","2159780"
"9/21/2020","1401155"
"9/22/2020","940976"
"9/23/2020","1619535"
"9/24/2020","914848"
"9/25/2020","1831921"
